contract_id,attachment_count,source_pdfs,source_txts,merged_txt,attachment_errors
10351002,14,10351002_1.pdf;10351002_2.pdf;10351002_3.pdf;10351002_4.pdf;10351002_5.pdf;10351002_6.pdf;10351002_7.pdf;10351002_8.pdf;10351002_9.pdf;10351002_10.pdf;10351002_11.pdf;10351002_12.pdf;10351002_13.pdf;10351002_14.pdf,10351002_1.txt;10351002_2.txt;10351002_3.txt;10351002_4.txt;10351002_5.txt;10351002_6.txt;10351002_7.txt;10351002_8.txt;10351002_9.txt;10351002_10.txt;10351002_11.txt;10351002_12.txt;10351002_13.txt;10351002_14.txt,10351002.txt,
11689058,1,11689058.pdf,11689058.txt,11689058.txt,
11710359,2,11710359_1.pdf;11710359_2.pdf,11710359_1.txt;11710359_2.txt,11710359.txt,
11752864,1,11752864.pdf,11752864.txt,11752864.txt,
11808524,1,11808524.pdf,11808524.txt,11808524.txt,
11811484,2,11811484_1.pdf;11811484_2.pdf,11811484_1.txt;11811484_2.txt,11811484.txt,
11816434,1,11816434.pdf,11816434.txt,11816434.txt,
11817537,2,11817537_1.pdf;11817537_2.pdf,11817537_1.txt;11817537_2.txt,11817537.txt,
11817556,1,11817556.pdf,11817556.txt,11817556.txt,
11817558,3,11817558_1.pdf;11817558_2.pdf;11817558_3.pdf,11817558_1.txt;11817558_2.txt;11817558_3.txt,11817558.txt,
11817562,1,11817562.pdf,11817562.txt,11817562.txt,
11817564,1,11817564.pdf,11817564.txt,11817564.txt,
11817566,1,11817566.pdf,11817566.txt,11817566.txt,
11817568,1,11817568.pdf,11817568.txt,11817568.txt,
11817570,1,11817570.pdf,11817570.txt,11817570.txt,
11817572,1,11817572.pdf,11817572.txt,11817572.txt,
11817574,1,11817574.pdf,11817574.txt,11817574.txt,
11817576,1,11817576.pdf,11817576.txt,11817576.txt,
11817578,1,11817578.pdf,11817578.txt,11817578.txt,
11817580,1,11817580.pdf,11817580.txt,11817580.txt,
11817582,1,11817582.pdf,11817582.txt,11817582.txt,
11817584,1,11817584.pdf,11817584.txt,11817584.txt,
