contract_id,weak_category,evidence_in_text,has_evidence,crz_predmet,crz_nazov,snippet,path
11752864,energie,elektr|energie|plyn,True,Zmluva o združenej dodávke plynu č. SC2025/161,Zmluva č. SC2025/161,"Zmluva o združenej dodávke plynu č. SC2025/161 uzatvorená v zmysle § 269 ods. 2 zákona č. 513/1991 Zb. Obchodného zákonníka v znení neskorších predpisov (ďalej len „Obchodný zákonník“), v súlade so zákonom č. 251/2012 Z. z. o energetike a o zmene niektorých zákonov (ďalej len „Zákon o energetike“), zákonom č. 250/2012 Z. z. o regulácii v sieťových odvetviach (ďalej len „zákon o regulácii v sieťových odvetviach“) a ďalšími všeobecne záväznými právnymi predpismi vzťahujúcimi sa na oblasť elektroenergetiky. (ďalej aj „ZoZDP“ alebo „zmluva“) Zmluvné strany Odberateľ Názov: Sídlo: Štatutárny orgán: IČO: DIČ, IČDPH: Bankové spojenie: IBAN, SWIFT: (ďalej len „Odberateľ”) a Dodávateľ Názov: Sídlo: Štatutárny orgán: Zapísaná v: IČO: DIČ: IČ DPH: Bankové spojenie: IBAN, SWIFT: Gymnázium duklianskych hrdinov, Komenského 16, Svidník Komenského 16, 089 01 Svidník RNDr. Ján Rodák, riaditeľ 00161233 2020790805 Štátna pokladnica SK22 8180 0000 0070 0051 5487 Torreol, s.r.o. Budova ORBIS, Rajská 7, 811 08 Bratislava Ing. Richard Prokypčák – konateľ Ing. Alexandra Broszová - konateľka OR mestského súdu Bratislava III, odd. Sro, vložka č.: 122819/",/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11752864.txt
11817564,ukoncenie,ukoncen,True,Dohoda o ukončení Zmluvy o zriadení spoločného obecného úradu,Ukončenie SSU,"Dohoda o ukončení Zmluvy o zriadení spoločného obecného úradu zo dňa 15.12.2020 uzatvorená podľa § 20a zákona č. 369/1990 Zb. Zákona Slovenskej národnej rady o obecnom zriadení uzatvorená medzi: Zmluvné strany: 1. Obec Badín So sídlom: Sládkovičova č. 4, 976 32 Badín IČO: 00313262 Zastúpená: Mgr. Pavlom Hricom, starostom obce 2. Obec Harmanec So sídlom: Harmanec 6, 976 03 Harmanec IČO: 00 313 416 Zastúpená: Henrietou Ivanovou, starostkou obce 3. Obec Kordíky So sídlom: Kordíky 59, 976 34 Kordíky IČO: 00 313 530 Zastúpená: Dušanom Tučekom, starostom obce 4. Obec Kynceľová So sídlom: Kynceľová 39, 974 01 Kynceľová IČO: 00 647 659 Zastúpená: Ing. Martinou Kubišovou, PhD., starostkou obce 5. Obec Malachov So sídlom: Ortútska 145, 974 05 Malachov IČO: 00 620 891 Zastúpená: Ing. Martinom Pálom, starostom obce 6. Obec Môlča So sídlom: Prostredná Môlča 61, 974 01 Môlča IČO: 00 313 611 Zastúpená: Mgr. Marianou Luptákovou, starostkou obce 7. Obec Tajov So sídlom: Tajov 79, 976 34 Tajov IČO: 00 313 882 Zastúpená: Mgr. Janette Cimermanovou, starostkou obce 8. Obec Poniky So sídlom: Malá Stráňa 32, 976 33 Poniky IČO: 00 313 734 Zastúpená: In",/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817564.txt
11817566,ukoncenie,ukoncen,True,Dohoda o ukončení zmluvy o dielo č. 16/HSV a dodatkov 1 až 17,39/2025,"DOHODA o ukončení platnosti zmluvy o dielo č. 16/HSV zo dňa 20.2.1995 v znení dodatkov č. 1 až č. 17/2022 zo dňa 19.09.2022 (ďalej v texte len „Dohoda“) uzatvorená medzi týmito zmluvnými stranami: Objednávateľ č.1: Obec Fričovce, so sídlom 082 37 Fričovce č.34, IČO: 00 327 026 zast.: PhDr. Ján Mikula, starosta obce I. Objednávateľ č.2: Obec Široké, so sídlom 082 37 Široké č.118, IČO: 00 327 832 zast.: Ing. Mgr. Silvia Kováčová, starostka obce Objednávateľ č.3: Obec Šindliar, so sídlom 082 36 Šindliar č.144, IČO: 00 327 824 zast.: Ing. František Sedlák, starosta obce Objednávateľ č.4: Obec Lipovce, so sídlom 082 36 Lipovce č.92, IČO: 00 327 787 zast.: Ján Šatník, starosta obce (ďalej len „objednávatelia“) a Zhotoviteľ: PEhAES, a.s., so sídlom 080 06 Ľubotice, Bardejovská č.15, IČO: 00 155 764 zast: Ing. Marián Boľanovský, predseda predstavenstva (ďalej len „zhotoviteľ“) (ďalej v texte len „zmluvné strany“) II. Predmetom tejto Dohody je ukončenie Zmluvy o dielo č.16/HSV zo dňa 20.2.1995 v znení dodatkov č. 1 až č. 17/2022 zo dňa 19.09.2022, ktorej predmetom mala byť výstavba kanalizácie Šindliar – Lipovce – Fričovce – Široké (ďalej v texte",/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817566.txt
11817568,hrobove_miesto,hrobove miesto|hroboveho miesta|hrobov,True,nájom za hrobové miesto,2025/4190001378,"ZMLUVA O NÁJME HROBOVÉHO MIESTA č. 2025/4190001378 Zmluvné strany: 1. MARIANUM - Pohrebníctvo mesta Bratislavy So sídlom: Šafárikovo námestie č. 3, 811 02 Bratislava Zastúpená: Ing. Robert Kováč, MBA - riaditeľ organizácie IČO: 17330190 DIČ: 2020838182 IČ DPH: SK 2020838182 tel.: 02/50 700 101 e-mail: spravacintorinov@marianum.sk www.marianum.sk (ďalej len „prenajímateľ"") 2. doc.Mgr. Miroslav Popper, CSc. Adresa: Na barine 4684/10, 84103 Bratislava Dátum narodenia: tel.: (ďalej len „nájomca"") e-mail: uzatvárajú podľa § 663 až 684 Občianskeho zákonníka a zákona č. 131/2010 Z. z. o pohrebníctve (ďalej len „zákon o pohrebníctve"") túto zmluvu o nájme hrobového miesta. Článok I Predmet a účel nájmu 1. Prenajímateľ prenecháva a nájomca prijíma do nájmu, za dohodnutú odplatu a za podmienok uvedených v tejto zmluve, typ miesta Urnové miesto, sektor 3, chodník 1A, číslo 22, predchádzajúce číslo hrobu 4-13-1411, na pohrebisku Krematórium Bratislava, Hodonínska 44, 841 03 Bratislava – Záhorská Bystrica v Bratislave za účelom uloženia ľudských pozostatkov alebo ostatkov, (ďalej len hrobové miesto). 2. Nájomca hrobového miesta prehlasuje, že bol oboznámený s hrobovým mies",/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817568.txt
11817570,hrobove_miesto,hrobove miesto|hroboveho miesta|hrobov,True,nájom za hrobové miesto,2025/1010002035,"ZMLUVA O NÁJME HROBOVÉHO MIESTA č. 2025/1010002035 Zmluvné strany: 1. MARIANUM - Pohrebníctvo mesta Bratislavy So sídlom: Šafárikovo námestie č. 3, 811 02 Bratislava Zastúpená: Ing. Robert Kováč, MBA - riaditeľ organizácie IČO: 17330190 DIČ: 2020838182 IČ DPH: SK 2020838182 tel.: 02/50 700 101 e-mail: spravacintorinov@marianum.sk www.marianum.sk (ďalej len „prenajímateľ"") 2. Miloš Medvecký Adresa: Jagststr. 14, 71679 Asperg Dátum narodenia: tel.: (ďalej len „nájomca"") e-mail: uzatvárajú podľa § 663 až 684 Občianskeho zákonníka a zákona č. 131/2010 Z. z. o pohrebníctve (ďalej len „zákon o pohrebníctve"") túto zmluvu o nájme hrobového miesta. Článok I Predmet a účel nájmu 1. Prenajímateľ prenecháva a nájomca prijíma do nájmu, za dohodnutú odplatu a za podmienok uvedených v tejto zmluve, typ miesta Hrobové miesto, sektor 28, chodník -, číslo 1101, predchádzajúce číslo hrobu XXVIII-1022, na pohrebisku Martinský cintorín, Trnavská cesta 110, 821 01 Bratislava – Ružinov v Bratislave za účelom uloženia ľudských pozostatkov alebo ostatkov, (ďalej len hrobové miesto). 2. Nájomca hrobového miesta prehlasuje, že bol oboznámený s hrobovým miestom, jeho polohou na pohrebis",/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817570.txt
11817572,hrobove_miesto,hrobove miesto|hroboveho miesta|hrobov,True,nájom za hrobové miesto,2025/1020002745,"ZMLUVA O NÁJME HROBOVÉHO MIESTA č. 2025/1020002745 Zmluvné strany: 1. MARIANUM - Pohrebníctvo mesta Bratislavy So sídlom: Šafárikovo námestie č. 3, 811 02 Bratislava Zastúpená: Ing. Robert Kováč, MBA - riaditeľ organizácie IČO: 17330190 DIČ: 2020838182 IČ DPH: SK 2020838182 tel.: 02/50 700 101 e-mail: spravacintorinov@marianum.sk www.marianum.sk (ďalej len „prenajímateľ"") 2. Ing. Martin Masác Adresa: Brezová 1591/32, 90025 Chorvátsky Grob Dátum narodenia: tel.: (ďalej len „nájomca"") e-mail: uzatvárajú podľa § 663 až 684 Občianskeho zákonníka a zákona č. 131/2010 Z. z. o pohrebníctve (ďalej len „zákon o pohrebníctve"") túto zmluvu o nájme hrobového miesta. Článok I Predmet a účel nájmu 1. Prenajímateľ prenecháva a nájomca prijíma do nájmu, za dohodnutú odplatu a za podmienok uvedených v tejto zmluve, typ miesta Urnové miesto, sektor 7/1, chodník -, číslo 62/14, predchádzajúce číslo hrobu -, na pohrebisku Cintorín Vrakuňa, Gagarinova 29, 821 07 Bratislava – Vrakuňa v Bratislave za účelom uloženia ľudských pozostatkov alebo ostatkov, (ďalej len hrobové miesto). 2. Nájomca hrobového miesta prehlasuje, že bol oboznámený s hrobovým miestom, jeho polohou na pohrebisk",/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817572.txt
11817574,hrobove_miesto,hrobove miesto|hroboveho miesta|hrobov,True,nájom za hrobové miesto,2025/2090003149,"ZMLUVA O NÁJME HROBOVÉHO MIESTA č. 2025/2090003149 Zmluvné strany: 1. MARIANUM - Pohrebníctvo mesta Bratislavy So sídlom: Šafárikovo námestie č. 3, 811 02 Bratislava Zastúpená: Ing. Robert Kováč, MBA - riaditeľ organizácie IČO: 17330190 DIČ: 2020838182 IČ DPH: SK 2020838182 tel.: 02/50 700 101 e-mail: spravacintorinov@marianum.sk www.marianum.sk (ďalej len „prenajímateľ"") 2. JUDr. Pavol Kollár Adresa: Lehockého 3038/4, 81106 Bratislava Dátum narodenia: tel.: (ďalej len „nájomca"") e-mail: uzatvárajú podľa § 663 až 684 Občianskeho zákonníka a zákona č. 131/2010 Z. z. o pohrebníctve (ďalej len „zákon o pohrebníctve"") túto zmluvu o nájme hrobového miesta. Článok I Predmet a účel nájmu 1. Prenajímateľ prenecháva a nájomca prijíma do nájmu, za dohodnutú odplatu a za podmienok uvedených v tejto zmluve, typ miesta Hrobové miesto, sektor 28, chodník -, číslo 69, predchádzajúce číslo hrobu XXVIII-67, na pohrebisku Cintorín Slávičie údolie, Staré Grunty 47, 841 04 Bratislava – Karlova Ves v Bratislave za účelom uloženia ľudských pozostatkov alebo ostatkov, (ďalej len hrobové miesto). 2. Nájomca hrobového miesta prehlasuje, že bol oboznámený s hrobovým miestom, jeho polo",/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817574.txt
11817576,hrobove_miesto,hrobove miesto|hroboveho miesta|hrobov,True,nájom za hrobové miesto,2025/2090003150,"ZMLUVA O NÁJME HROBOVÉHO MIESTA č. 2025/2090003150 Zmluvné strany: 1. MARIANUM - Pohrebníctvo mesta Bratislavy So sídlom: Šafárikovo námestie č. 3, 811 02 Bratislava Zastúpená: Ing. Robert Kováč, MBA - riaditeľ organizácie IČO: 17330190 DIČ: 2020838182 IČ DPH: SK 2020838182 tel.: 02/50 700 101 e-mail: spravacintorinov@marianum.sk www.marianum.sk (ďalej len „prenajímateľ"") 2. JUDr. Pavol Kollár Adresa: Lehockého 3038/4, 81106 Bratislava Dátum narodenia: tel.: (ďalej len „nájomca"") e-mail: uzatvárajú podľa § 663 až 684 Občianskeho zákonníka a zákona č. 131/2010 Z. z. o pohrebníctve (ďalej len „zákon o pohrebníctve"") túto zmluvu o nájme hrobového miesta. Článok I Predmet a účel nájmu 1. Prenajímateľ prenecháva a nájomca prijíma do nájmu, za dohodnutú odplatu a za podmienok uvedených v tejto zmluve, typ miesta Urnové miesto, sektor 28, chodník -, číslo 71, predchádzajúce číslo hrobu XXVIII-69, na pohrebisku Cintorín Slávičie údolie, Staré Grunty 47, 841 04 Bratislava – Karlova Ves v Bratislave za účelom uloženia ľudských pozostatkov alebo ostatkov, (ďalej len hrobové miesto). 2. Nájomca hrobového miesta prehlasuje, že bol oboznámený s hrobovým miestom, jeho poloh",/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817576.txt
11817578,hrobove_miesto,hrobove miesto|hroboveho miesta|hrobov,True,nájom za hrobové miesto,2025/4190001379,"ZMLUVA O NÁJME HROBOVÉHO MIESTA č. 2025/4190001379 Zmluvné strany: 1. MARIANUM - Pohrebníctvo mesta Bratislavy So sídlom: Šafárikovo námestie č. 3, 811 02 Bratislava Zastúpená: Ing. Robert Kováč, MBA - riaditeľ organizácie IČO: 17330190 DIČ: 2020838182 IČ DPH: SK 2020838182 tel.: 02/50 700 101 e-mail: spravacintorinov@marianum.sk www.marianum.sk (ďalej len „prenajímateľ"") 2. Anna Krohľáková Adresa: Ľuda Zúbka 3167/13, 84101 Bratislava Dátum narodenia: tel.: (ďalej len „nájomca"") e-mail: uzatvárajú podľa § 663 až 684 Občianskeho zákonníka a zákona č. 131/2010 Z. z. o pohrebníctve (ďalej len „zákon o pohrebníctve"") túto zmluvu o nájme hrobového miesta. Článok I Predmet a účel nájmu 1. Prenajímateľ prenecháva a nájomca prijíma do nájmu, za dohodnutú odplatu a za podmienok uvedených v tejto zmluve, typ miesta Urnové miesto, sektor 5, chodník 8, číslo 525, predchádzajúce číslo hrobu -, na pohrebisku Krematórium Bratislava, Hodonínska 44, 841 03 Bratislava – Záhorská Bystrica v Bratislave za účelom uloženia ľudských pozostatkov alebo ostatkov, (ďalej len hrobové miesto). 2. Nájomca hrobového miesta prehlasuje, že bol oboznámený s hrobovým miestom, jeho polohou na p",/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817578.txt
11817582,dohoda_ine,dohoda,True,"D O H O D A č. 25/33/010/9 uzatvorená podľa § 10 ods. 12, § 26 ods. 2 písm. g) a ďalších zákona č. 417/2013 Z. z. o pomoci v hmotnej núdzi",301/2025,"Číslo záznamu: č. zákona č. 417/2013 Z. z. o znení neskorších pr uzatvorená podľa § 10 ods. 12, § 26 ods. 2 písm. g) a ďalších hmotnej núdzi a o doplnení niektorých zákonov ust. § 51 zákona č. 40/1964 Zb. Občiansky zákonník v znení neskorších predpisov (ďalej len „dohoda“) Úrad práce, sociálnych vecí a rodiny Zvolen Sídlo: V mene ktorého koná: Bc. Richard Miartuš riaditeľ úradu IČO: 30794536 (ďalej len „úrad“) Obec Jalšovík Sídlo: Jalšovík V mene ktorého koná: Adriana Vicianová IČO: Jalšovík (ďalej len „organizátor“) úrad a organizátor ďalej spolu ako aj „účastníci dohody “ Účelom uzatvorenia tejto dohody je najmä aplikácia § 10 zákona č. 417/2013 Z. z. o hmotnej núdzi a o doplnení niektorých zákonov v znení neskorších predpisov (ďalej len „zákon o hmotnej núdzi“) do praxe. Člá Predmetom tejto dohody je záväzok organizátora realizovať činnosť bližšie špecifikovanú článku II tejto dohody, a to prostredníctvom osôb podľa § 1 ods. 2 zákona o pomoci v hmotnej núdzi nachádzajúcich sa v hmotnej núdzi podľa podmienok zákona o pomoci v hmotnej núdzi (ďalej len „občania“), ktorých účasť na týchto činnostiach zabezpečí úrad. Za občana sa na účely tejto dohody pova",/Users/kazimir/Desktop/BP/zmluvy_cleaned_checked_strict_valid/11817582.txt
